event_id,location,time_start,time_end,direction,class,footage_id
0,most_mieszka,2025-08-06 12:53:11.300,2025-08-06 12:53:19.000,right,tram,most_mieszka_06-08-12-50
1,most_mieszka,2025-08-06 12:56:22.760,2025-08-06 12:56:24.620,right,tram,most_mieszka_06-08-12-50
2,most_mieszka,2025-08-06 12:58:13.020,2025-08-06 12:58:18.160,right,tram,most_mieszka_06-08-12-50
3,most_mieszka,2025-08-06 12:59:45.600,2025-08-06 12:59:50.580,left,tram,most_mieszka_06-08-12-50
4,most_mieszka,2025-08-06 13:00:20.820,2025-08-06 13:00:21.440,left,tram,most_mieszka_06-08-12-50
5,most_mieszka,2025-08-06 13:01:29.160,2025-08-06 13:01:29.200,unknown,tram,most_mieszka_06-08-12-50
6,most_mieszka,2025-08-06 13:03:48.440,2025-08-06 13:03:51.560,left,tram,most_mieszka_06-08-12-50
7,most_mieszka,2025-08-06 13:05:42.200,2025-08-06 13:05:47.360,right,tram,most_mieszka_06-08-12-50
8,most_mieszka,2025-08-06 13:10:01.320,2025-08-06 13:10:06.380,right,tram,most_mieszka_06-08-12-50
9,most_mieszka,2025-08-06 13:13:30.200,2025-08-06 13:13:33.440,right,tram,most_mieszka_06-08-12-50
10,most_mieszka,2025-08-06 13:13:51.380,2025-08-06 13:13:59.480,left,tram,most_mieszka_06-08-12-50
11,most_mieszka,2025-08-06 13:16:36.600,2025-08-06 13:16:44.080,left,tram,most_mieszka_06-08-12-50
12,most_mieszka,2025-08-06 13:18:10.940,2025-08-06 13:18:10.940,unknown,tram,most_mieszka_06-08-12-50
13,most_mieszka,2025-08-06 13:22:01.000,2025-08-06 13:22:02.460,right,tram,most_mieszka_06-08-13-20
14,most_mieszka,2025-08-06 13:23:59.660,2025-08-06 13:24:07.880,left,tram,most_mieszka_06-08-13-20
15,most_mieszka,2025-08-06 13:24:24.680,2025-08-06 13:24:29.660,right,tram,most_mieszka_06-08-13-20
16,most_mieszka,2025-08-06 13:26:47.980,2025-08-06 13:26:57.300,right,tram,most_mieszka_06-08-13-20
17,most_mieszka,2025-08-06 13:28:09.880,2025-08-06 13:28:18.000,left,tram,most_mieszka_06-08-13-20
