event_id,location,time_start,time_end,direction,class,footage_id
0,estkowskiego,2025-08-06 13:44:43.800,2025-08-06 13:44:43.820,unknown,tram,estkowskiego_06-08-13-42
1,estkowskiego,2025-08-06 13:44:44.680,2025-08-06 13:44:47.080,left,tram,estkowskiego_06-08-13-42
2,estkowskiego,2025-08-06 13:47:46.500,2025-08-06 13:47:47.340,right,tram,estkowskiego_06-08-13-42
3,estkowskiego,2025-08-06 13:48:03.880,2025-08-06 13:48:04.140,left,tram,estkowskiego_06-08-13-42
4,estkowskiego,2025-08-06 13:51:37.060,2025-08-06 13:51:38.180,right,tram,estkowskiego_06-08-13-42
5,estkowskiego,2025-08-06 13:51:41.320,2025-08-06 13:51:41.520,unknown,tram,estkowskiego_06-08-13-42
6,estkowskiego,2025-08-06 13:55:46.540,2025-08-06 13:55:52.560,right,tram,estkowskiego_06-08-13-42
7,estkowskiego,2025-08-06 14:01:01.780,2025-08-06 14:01:01.780,unknown,tram,estkowskiego_06-08-13-42
8,estkowskiego,2025-08-06 14:04:43.420,2025-08-06 14:04:49.220,right,tram,estkowskiego_06-08-13-42
9,estkowskiego,2025-08-06 14:07:17.680,2025-08-06 14:07:17.920,unknown,tram,estkowskiego_06-08-13-42
10,estkowskiego,2025-08-06 14:07:21.080,2025-08-06 14:07:21.100,unknown,tram,estkowskiego_06-08-13-42
11,estkowskiego,2025-08-06 14:08:05.860,2025-08-06 14:08:11.180,right,tram,estkowskiego_06-08-13-42
0,most_mieszka,2025-08-06 12:53:11.300,2025-08-06 12:53:11.340,unknown,tram,most_mieszka_06-08-12-50
1,most_mieszka,2025-08-06 12:53:16.800,2025-08-06 12:53:18.920,right,tram,most_mieszka_06-08-12-50
2,most_mieszka,2025-08-06 12:58:13.420,2025-08-06 12:58:17.840,right,tram,most_mieszka_06-08-12-50
3,most_mieszka,2025-08-06 12:59:50.140,2025-08-06 12:59:50.160,unknown,tram,most_mieszka_06-08-12-50
4,most_mieszka,2025-08-06 13:00:20.900,2025-08-06 13:00:21.120,left,tram,most_mieszka_06-08-12-50
5,most_mieszka,2025-08-06 13:03:51.480,2025-08-06 13:03:51.480,unknown,tram,most_mieszka_06-08-12-50
6,most_mieszka,2025-08-06 13:05:42.600,2025-08-06 13:05:47.040,right,tram,most_mieszka_06-08-12-50
7,most_mieszka,2025-08-06 13:10:01.660,2025-08-06 13:10:06.340,right,tram,most_mieszka_06-08-12-50
8,most_mieszka,2025-08-06 13:13:30.220,2025-08-06 13:13:33.400,right,tram,most_mieszka_06-08-12-50
9,most_mieszka,2025-08-06 13:13:52.340,2025-08-06 13:13:52.440,unknown,tram,most_mieszka_06-08-12-50
10,most_mieszka,2025-08-06 13:13:59.240,2025-08-06 13:13:59.400,unknown,tram,most_mieszka_06-08-12-50
11,most_mieszka,2025-08-06 13:16:39.080,2025-08-06 13:16:43.120,left,tram,most_mieszka_06-08-12-50
0,most_mieszka,2025-08-06 13:23:59.880,2025-08-06 13:23:59.980,unknown,tram,most_mieszka_06-08-13-20
1,most_mieszka,2025-08-06 13:24:05.960,2025-08-06 13:24:07.840,left,tram,most_mieszka_06-08-13-20
2,most_mieszka,2025-08-06 13:24:25.000,2025-08-06 13:24:29.620,right,tram,most_mieszka_06-08-13-20
3,most_mieszka,2025-08-06 13:26:48.420,2025-08-06 13:26:57.200,right,tram,most_mieszka_06-08-13-20
4,most_mieszka,2025-08-06 13:28:13.380,2025-08-06 13:28:17.840,left,tram,most_mieszka_06-08-13-20
0,�r�dka,2025-08-06 17:07:41.520,2025-08-06 17:07:41.680,left,tram,�r�dka_06-08-17-00
